sizing_config,split_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,avg_abs_position,avg_net_position,long_day_rate,short_day_rate,cash_day_rate,turnover,transaction_cost,short_borrow_cost,winner
fractional_quarter_20bp_edge,13,2024-10-16,2025-04-15,124,-0.09150654141545045,-0.11629603508674713,-0.02478949367129668,-0.18755234489427275,-0.18755234489427286,0.9475806451612904,0.7701612903225806,0.8709677419354839,0.10483870967741936,0.024193548387096774,21.5,0.00215,0.00010912698412698413,SPY
fractional_quarter_20bp_edge,14,2025-04-16,2025-10-15,126,0.2639920319541349,-0.03354147881311109,-0.297533510767246,-0.02984653787017788,-0.08437899309505503,0.8948412698412699,-0.06547619047619048,0.46825396825396826,0.5158730158730159,0.015873015873015872,42.5,0.00425,0.0006001984126984127,SPY
fractional_quarter_20bp_edge,15,2025-10-16,2026-04-15,124,0.0681388808388852,0.09357116908392893,0.025432288245043733,-0.08884968175523811,-0.08577380838039161,0.967741935483871,0.7016129032258065,0.8467741935483871,0.13709677419354838,0.016129032258064516,16.5,0.00165,0.00016369047619047618,our_model
fractional_quarter_20bp_edge,16,2026-04-16,2026-07-02,54,0.07403367927861226,0.07451775559882101,0.00048407632020874836,-0.04494652583696368,-0.04494652583696368,0.9953703703703703,0.9953703703703703,1.0,0.0,0.0,0.5,5e-05,0.0,our_model
fractional_quarter_30bp_edge,1,2018-10-16,2019-04-15,124,0.04543479073578616,0.09755635751706127,0.05212156678127511,-0.16120999241903322,-0.10462236237680145,0.8548387096774194,-0.04032258064516129,0.4596774193548387,0.5080645161290323,0.03225806451612903,35.0,0.0035,0.000550595238095238,our_model
fractional_quarter_30bp_edge,2,2019-04-16,2019-10-15,127,0.038172231492216824,0.048605558522217596,0.010433327030000772,-0.06618365702175977,-0.06618365702175932,0.9665354330708661,0.9665354330708661,1.0,0.0,0.0,5.0,0.0005,0.0,our_model
fractional_quarter_30bp_edge,3,2019-10-16,2020-04-15,125,-0.05455269717552913,0.4428262879689393,0.49737898514446843,-0.33717262742332,-0.2328630665523569,0.944,-0.828,0.08,0.904,0.016,21.5,0.00215,0.001098710317460318,our_model
fractional_quarter_30bp_edge,4,2020-04-16,2020-10-15,128,0.25479976125070136,0.20731563912353468,-0.047484122127166684,-0.09440438875248791,-0.06989512189093683,0.873046875,0.513671875,0.7578125,0.2109375,0.03125,38.5,0.00385,0.00022817460317460316,SPY
fractional_quarter_30bp_edge,5,2020-10-16,2021-04-15,124,0.21054748956325064,0.023191405253622177,-0.18735608430962847,-0.0556425622365041,-0.11007660916132167,0.8528225806451613,-0.018145161290322582,0.46774193548387094,0.47580645161290325,0.056451612903225805,48.0,0.0048000000000000004,0.0005357142857142856,SPY
fractional_quarter_30bp_edge,6,2021-04-16,2021-10-15,128,0.07868080621323292,0.09017086238724659,0.011490056174013663,-0.051141231875642124,-0.051141231875641346,0.939453125,0.912109375,0.953125,0.03125,0.015625,14.75,0.0014750000000000002,1.736111111111111e-05,our_model
fractional_quarter_30bp_edge,7,2021-10-18,2022-04-14,125,-0.014123504276864707,0.0229720576868766,0.03709556196374131,-0.12865546428446328,-0.11871690551807945,0.84,0.368,0.664,0.288,0.048,36.75,0.003675,0.00029265873015873014,our_model
fractional_quarter_30bp_edge,8,2022-04-18,2022-10-14,126,-0.15538071876196446,0.31715357385790477,0.47253429261986923,-0.19204729108991025,-0.12605573283239646,0.9503968253968254,-0.6130952380952381,0.1984126984126984,0.7936507936507936,0.007936507936507936,24.0,0.0024000000000000002,0.0009771825396825396,our_model
fractional_quarter_30bp_edge,9,2022-10-17,2023-04-14,124,0.1379637095628743,0.05746598845754658,-0.08049772110532771,-0.07538750754385104,-0.13793251861712064,0.9758064516129032,0.3790322580645161,0.6854838709677419,0.29838709677419356,0.016129032258064516,11.0,0.0011,0.00036706349206349205,SPY
