refresh_schedule,model,period_id,test_start,test_end,days,spy_return,our_return,our_minus_spy,spy_max_drawdown,our_max_drawdown,long_days,short_days,cash_days,turnover,transaction_cost,short_borrow_cost,winner
biweekly,logistic_regression,102,2022-08-30,2022-09-12,9,-0.012832115473516703,0.04488989416218203,0.057722009635698734,-0.04348236846854958,-0.032705389135675667,3,6,0,8.0,0.0008,5.9523809523809524e-05,our_model
biweekly,logistic_regression,103,2022-09-13,2022-09-26,10,-0.0718070708812909,-0.05106652694071612,0.020740543940574785,-0.0753352659691291,-0.06490525030152283,9,1,0,6.0,0.0006000000000000001,9.92063492063492e-06,our_model
biweekly,logistic_regression,104,2022-09-27,2022-10-10,10,-0.015521115168319333,0.01169821938139437,0.027219334549713703,-0.053522955229633795,-0.05658908223939818,0,10,0,2.0,0.0002,9.92063492063492e-05,our_model
biweekly,logistic_regression,105,2022-10-11,2022-10-24,10,0.07597721221385756,-0.07362020549486714,-0.1495974177087247,-0.02278871907767177,-0.07665659438641137,0,10,0,0.0,0.0,9.92063492063492e-05,SPY
biweekly,logistic_regression,106,2022-10-25,2022-11-07,10,-0.007585914726158438,0.030473307348108714,0.03805922207426715,-0.04629580559905644,-0.03533244383705492,7,3,0,6.0,0.0006000000000000001,2.9761904761904762e-05,our_model
biweekly,logistic_regression,107,2022-11-08,2022-11-21,10,0.04685851888564918,0.018940378530394097,-0.027918140355255083,-0.010714825345032208,-0.01439482886896104,2,8,0,2.0,0.0002,7.936507936507937e-05,SPY
biweekly,logistic_regression,108,2022-11-22,2022-12-05,9,-0.01517884925436308,-0.015374580076954136,-0.0001957308225910559,-0.03397266061487669,-0.03397266061487669,9,0,0,2.0,0.0002,0.0,SPY
biweekly,logistic_regression,109,2022-12-06,2022-12-19,10,-0.029308478943829597,-0.029974198110454653,-0.0006657191666250561,-0.050264631716275376,-0.03599413260562001,5,4,1,12.0,0.0012000000000000001,3.968253968253968e-05,SPY
biweekly,logistic_regression,110,2022-12-20,2022-12-30,8,0.0007358782498076977,0.06001866604165529,0.05928278779184759,-0.02477794392869348,-0.005762045113389402,3,5,0,6.0,0.0006000000000000001,4.96031746031746e-05,our_model
biweekly,logistic_regression,111,2023-01-03,2023-01-13,9,0.04450926764478047,-0.0655703253820561,-0.11007959302683656,-0.011413367149978204,-0.0600033086625793,1,8,0,4.0,0.0004,7.936507936507937e-05,SPY
biweekly,logistic_regression,112,2023-01-17,2023-01-30,10,0.02189701311655967,-0.0535391386316304,-0.07543615174819007,-0.012546984417973861,-0.04491339921437931,1,9,0,4.0,0.0004,8.928571428571429e-05,SPY
biweekly,logistic_regression,113,2023-01-31,2023-02-13,10,0.015154530957974366,-0.005096210872427398,-0.020250741830401764,-0.023249725143849154,-0.02992823822884305,4,6,0,8.0,0.0008,5.9523809523809524e-05,SPY
biweekly,logistic_regression,114,2023-02-14,2023-02-27,9,-0.039695616050016036,0.04680810989822404,0.08650372594824007,-0.042803983279827484,-0.005329309818103201,1,8,0,4.0,0.0004,7.936507936507937e-05,our_model
biweekly,logistic_regression,115,2023-02-28,2023-03-13,10,-0.0114319662054011,0.01730404190705581,0.028736008112456912,-0.04724693891271381,-0.03399169249128764,8,2,0,6.0,0.0006000000000000001,1.984126984126984e-05,our_model
biweekly,logistic_regression,116,2023-03-14,2023-03-27,10,0.013733507927796929,0.013733507927796929,0.0,-0.017046583079635802,-0.017046583079635802,10,0,0,0.0,0.0,0.0,SPY
